38,0,22,1,16,9,8,16,23,17,39,110,0.14,7.14,785.71,0.04,43.65,0,0,3,0,0,1,0.06,0.0,3,3.0,0.03,0,0
93,1,26,1,66,25,17,100,132,42,232,867,0.03,33.33,28900.0,0.29,1605.56,16,8,8,8,1,8,0.12,1.0,8,1.0,0.09,0,0
482,71,35,1,376,128,36,948,1250,164,2198,11209,0.01,100.0,1120900.0,3.74,62272.22,110,55,42,48,3,52,0.14,1.15,42,0.81,0.11,0,0
306,38,68,1,200,161,27,351,476,188,827,4330,0.03,33.33,144333.33,1.44,8018.52,48,24,97,21,3,22,0.11,1.14,97,4.41,0.07,0,0
1544,289,216,1,1039,441,41,2831,3494,482,6325,39075,0.01,100.0,3907500.0,13.03,217083.33,364,182,291,170,20,160,0.15,1.07,291,1.82,0.1,0,1
1996,335,311,1,1350,587,40,3096,3630,627,6726,43321,0.01,100.0,4332100.0,14.44,240672.22,512,256,294,239,36,204,0.15,1.07,294,1.44,0.1,0,0
1118,131,64,1,923,332,39,1936,2366,371,4302,25451,0.01,100.0,2545100.0,8.48,141394.44,368,184,151,169,19,156,0.17,1.09,151,0.97,0.14,0,0
580,47,20,1,513,795,26,1798,1948,821,3746,25137,0.03,33.33,837900.0,8.38,46550.0,52,26,384,25,0,27,0.05,1.04,384,14.22,0.05,0,0
1127,0,97,1,1030,756,16,6573,4830,772,11403,75818,0.01,100.0,7581800.0,25.27,421211.11,6,3,967,3,1,2,0.0,1.0,967,483.5,0.0,0,0
802,131,83,1,588,275,37,1890,2342,312,4232,24304,0.01,100.0,2430400.0,8.1,135022.22,180,90,145,58,5,86,0.15,1.55,145,1.69,0.11,0,1
92,5,15,1,72,120,12,241,274,132,515,2514,0.08,12.5,31425.0,0.84,1745.83,12,6,15,6,1,6,0.08,1.0,15,2.5,0.07,0,1
117,4,30,1,83,53,20,137,185,73,322,1381,0.04,25.0,34525.0,0.46,1918.06,18,9,12,4,0,10,0.12,2.25,12,1.2,0.09,0,0
102,7,16,1,79,43,14,160,187,57,347,1402,0.04,25.0,35050.0,0.47,1947.22,6,3,19,3,0,4,0.05,1.0,19,4.75,0.04,0,1
61,0,16,1,45,30,13,70,84,43,154,579,0.07,14.29,8271.43,0.19,459.52,4,2,7,2,0,3,0.07,1.0,7,2.33,0.05,0,0
31,0,17,1,14,5,4,5,12,9,17,37,0.5,2.0,74.0,0.01,4.11,2,1,3,0,0,2,0.14,0.0,3,1.5,0.06,0,0
181,12,41,1,128,58,16,396,420,74,816,3512,0.02,50.0,175600.0,1.17,9755.56,30,15,14,15,1,15,0.12,1.0,14,0.93,0.08,0,0
291,35,59,1,197,100,34,469,642,134,1111,5441,0.01,100.0,544100.0,1.81,30227.78,56,28,52,27,6,21,0.11,1.04,52,2.48,0.07,0,0
734,92,81,1,561,299,33,1540,1735,332,3275,19011,0.01,100.0,1901100.0,6.34,105616.67,132,66,98,66,11,55,0.1,1.0,98,1.78,0.07,0,1
908,160,70,1,678,314,33,1903,2258,347,4161,24339,0.01,100.0,2433900.0,8.11,135216.67,266,133,124,130,19,111,0.16,1.02,124,1.12,0.12,0,1
286,36,56,1,194,165,26,537,689,191,1226,6439,0.02,50.0,321950.0,2.15,17886.11,28,14,94,8,1,14,0.07,1.75,94,6.71,0.05,0,0
62,0,19,1,43,289,20,13730,13752,309,27482,157563,0.0,0.0,0.0,52.52,0.0,8,4,2,1,0,5,0.12,4.0,2,0.4,0.08,0,0
99,1,27,1,71,72,24,191,246,96,437,1994,0.03,33.33,66466.67,0.66,3692.59,24,12,10,10,3,10,0.14,1.2,10,1.0,0.1,0,1
84,0,17,1,67,48,21,133,159,69,292,1236,0.03,33.33,41200.0,0.41,2288.89,14,7,14,7,1,7,0.1,1.0,14,2.0,0.08,0,0
399,58,36,1,305,149,32,691,867,181,1558,8099,0.01,100.0,809900.0,2.7,44994.44,116,58,61,48,3,56,0.18,1.21,61,1.09,0.14,0,1
42,0,20,1,22,23,10,38,43,33,81,283,0.12,8.33,2358.33,0.09,131.02,4,2,4,0,0,3,0.14,0.0,4,1.33,0.07,0,1
186,21,39,1,126,93,26,259,326,119,585,2795,0.03,33.33,93166.67,0.93,5175.93,40,20,17,15,2,19,0.15,1.33,17,0.89,0.1,0,0
217,26,39,1,152,74,20,242,311,94,553,2512,0.03,33.33,83733.33,0.84,4651.85,28,14,40,10,1,14,0.09,1.4,40,2.86,0.06,0,1
74,0,29,1,45,46,17,128,145,63,273,1131,0.04,25.0,28275.0,0.38,1570.83,10,5,5,0,0,6,0.13,0.0,5,0.83,0.08,0,0
95,0,23,1,72,43,19,159,196,62,355,1465,0.03,33.33,48833.33,0.49,2712.96,22,11,12,11,2,10,0.14,1.0,12,1.2,0.11,0,0
112,0,24,1,88,49,24,167,186,73,353,1514,0.02,50.0,75700.0,0.5,4205.56,16,8,13,3,0,9,0.1,2.67,13,1.44,0.08,0,0
157,5,28,1,124,95,28,257,312,123,569,2738,0.03,33.33,91266.67,0.91,5070.37,36,18,30,11,2,17,0.14,1.64,30,1.76,0.11,0,1
1678,0,378,1,1300,211,45,1978,3087,256,5065,28086,0.0,0.0,0.0,9.36,0.0,596,298,162,264,44,242,0.19,1.13,162,0.67,0.14,0,1
215,0,78,1,137,95,16,225,239,111,464,2185,0.05,20.0,43700.0,0.73,2427.78,14,7,47,7,3,5,0.04,1.0,47,9.4,0.02,0,0
113,2,30,1,81,50,14,64,105,64,169,702,0.11,9.09,6381.82,0.23,354.55,10,5,32,5,0,6,0.07,1.0,32,5.33,0.05,0,0
