condvar1_1.c,117,0,77,1,40,18,21,49,74,39,123,450,0.03,33.33,15000,0.15,833.33,6,3,11,1,0,4,0.1,3,11,2.75,0.03,0
condvar1_2.c,126,0,77,1,49,27,21,69,98,48,167,646,0.04,25,16150,0.22,897.22,8,4,12,1,0,5,0.1,4,12,2.4,0.04,0
condvar2.c,127,0,75,1,52,40,16,87,98,56,185,744,0.06,16.67,12400,0.25,688.89,2,1,18,1,0,2,0.04,1,18,9,0.02,0
condvar2_1.c,155,0,75,1,80,51,21,134,169,72,303,1295,0.04,25,32375,0.43,1798.61,6,3,27,1,0,4,0.05,3,27,6.75,0.03,0
condvar3.c,150,0,80,1,70,44,20,116,149,64,265,1102,0.04,25,27550,0.37,1530.56,4,2,27,1,0,3,0.04,2,27,9,0.02,0
condvar3_1.c,203,0,79,1,124,65,25,226,283,90,509,2290,0.02,50,114500,0.76,6361.11,14,7,51,3,1,7,0.06,2.33,51,7.29,0.03,0
condvar3_2.c,195,0,85,1,110,62,25,182,230,87,412,1839,0.03,33.33,61300,0.61,3405.56,14,7,34,5,1,7,0.06,1.4,34,4.86,0.04,0
condvar3_3.c,134,0,82,1,52,28,12,91,108,40,199,734,0.05,20,14680,0.24,815.56,0,0,19,0,0,1,0.02,0,19,19,0.01,0
condvar4.c,171,0,76,1,95,45,19,168,205,64,373,1551,0.03,33.33,51700,0.52,2872.22,2,1,33,0,0,2,0.02,0,33,16.5,0.01,0
condvar5.c,170,0,75,1,95,45,19,168,205,64,373,1551,0.03,33.33,51700,0.52,2872.22,2,1,33,0,0,2,0.02,0,33,16.5,0.01,0
condvar6.c,244,0,98,1,146,58,24,240,297,82,537,2366,0.02,50,118300,0.79,6572.22,10,5,44,1,0,6,0.04,5,44,7.33,0.02,0
condvar7.c,259,0,104,1,155,64,25,259,318,89,577,2589,0.02,50,129450,0.86,7191.67,10,5,50,1,0,6,0.04,5,50,8.33,0.02,0
condvar8.c,260,0,98,1,162,64,27,264,327,91,591,2665,0.02,50,133250,0.89,7402.78,12,6,47,1,0,7,0.04,6,47,6.71,0.03,0
condvar9.c,269,0,101,1,168,69,28,286,350,97,636,2909,0.02,50,145450,0.97,8080.56,12,6,50,2,1,6,0.04,3,50,8.33,0.02,0
config-file.c,869,152,18,1,699,215,31,1575,2166,246,3741,20595,0.01,100,2059500,6.87,114416.67,214,107,202,83,8,100,0.14,1.29,202,2.02,0.12,0
context1.c,144,0,78,1,66,38,13,65,80,51,145,570,0.09,11.11,6333.33,0.19,351.85,4,2,15,2,1,2,0.03,1,15,7.5,0.01,0
coreaudio-enum-devices.c,195,36,1,0,158,78,24,329,418,102,747,3454,0.02,50,172700,1.15,9594.44,36,18,40,17,0,19,0.12,1.06,40,2.11,0.1,0
coreaudio-output.c,343,62,1,0,280,171,30,600,805,201,1405,7451,0.02,50,372550,2.48,20697.22,72,36,74,31,1,36,0.13,1.16,74,2.06,0.1,0
count1.c,92,0,51,1,41,21,15,52,73,36,125,447,0.05,20,8940,0.15,496.67,4,2,8,0,0,3,0.07,0,8,2.67,0.03,0
crc32.c,81,0,17,1,64,269,15,287,293,284,580,3276,0.12,8.33,27300,1.09,1516.67,2,1,0,0,0,2,0.03,0,0,0,0.02,0
